Sample.ID,Site,Transect,Diameter.1,Diameter.2,Diameter.3,Diameter.mean,Note
1239,S1,T1,1.826,1.112,1.594,1.510666667,
1240,S1,T1,13.222,8.58,11.394,11.06533333,
1241,S1,T1,100,100,100,100,
1242,S1,T1,100,100,100,100,
1243,S1,T1,1.337,1.231,1.144,1.237333333,
1244,S1,T1,100,100,100,100,
1245,S1,T1,100,100,100,100,
1246,S1,T1,14.63,13.863,13.676,14.05633333,
1247,S1,T1,1.272,0.668,0.837,0.925666667,
1248,S1,T1,100,100,100,100,
1249,S1,T1,9.588,8.484,10.525,9.532333333,
1250,S1,T1,1.121,0.851,0.976,0.982666667,
1251,S1,T1,1.719,1.322,0.924,1.321666667,
1252,S1,T1,100,100,100,100,
1253,S1,T1,3.234,3.061,1.446,2.580333333,
1254,S1,T1,4.756,3.636,3.49,3.960666667,
1255,S1,T1,5.643,4.045,3.546,4.411333333,
1256,S1,T1,1.408,1.242,1.136,1.262,
1257,S1,T1,1.652,1.7,1.574,1.642,
1258,S1,T1,0.947,0.648,0.481,0.692,
1259,S1,T1,100,100,100,100,
1260,S1,T1,1.49,1.165,0.679,1.111333333,
1232,S1,T2,100,100,100,100,
1233,S1,T2,5.552,3.686,2.81,4.016,
1234,S1,T2,2.202,1.682,1.127,1.670333333,
1235,S1,T2,10.094,10.364,6.508,8.988666667,
1236,S1,T2,100,100,100,100,
1237,S1,T2,1.727,1.935,1.178,1.613333333,
1238,S1,T2,0.738,0.624,0.436,0.599333333,
1231,S1,T3,1.642,1.657,0.947,1.415333333,
1268,S1,T3,3.232,4.513,3.348,3.697666667,
1269,S1,T3,4.63,4.731,2.713,4.024666667,
1270,S1,T3,100,100,100,100,
1271,S1,T3,2.419,2.234,1.724,2.125666667,
1272,S1,T3,0.897,0.871,0.676,0.814666667,
1273,S1,T3,2.848,2.66,1.986,2.498,
1274,S1,T3,11.894,12.936,7.951,10.927,
1275,S1,T3,3.87,4.319,3.434,3.874333333,
1276,S1,T3,100,100,100,100,
1277,S1,T3,3.598,3.196,2.031,2.941666667,
1278,S1,T3,2.248,2.137,1.767,2.050666667,
1279,S1,T3,9.388,9.914,5.669,8.323666667,
1280,S1,T3,100,100,100,100,
1282,S1,T3,11.052,10.047,7.066,9.388333333,
1286,S1,T3,100,100,100,100,
1306,S1,T3,9.471,9.239,7.452,8.720666667,
1307,S1,T3,2.241,2.129,1.69,2.02,
1309,S1,T3,100,100,100,100,
1310,S1,T3,0.71,0.543,0.482,0.578333333,
1311,S1,T3,100,100,100,100,
1312,S1,T3,100,100,100,100,
1313,S1,T3,12.516,11.292,6.076,9.961333333,
1314,S1,T3,NA,NA,NA,#DIV/0!,
1315,S1,T3,3.232,2.946,3.154,3.110666667,
1347,S1,T3,2.827,2.732,1.696,2.418333333,
1281,S1,T4,7.347,7.664,7.607,7.539333333,
1283,S1,T4,100,100,100,100,
1284,S1,T4,1.643,2.567,1.509,1.906333333,
1308,S1,T4,0.928,0.919,0.415,0.754,
1285,S1,T5,5.486,4.508,4.355,4.783,
1287,S1,T5,1.739,1.874,1.785,1.799333333,
1304,S1,T5,3.631,3.346,3.241,3.406,
1305,S1,T5,12.354,10.298,8.615,10.42233333,
1314,S1,T5,100,100,100,100,
1288,S1,T6,1.354,1.249,0.856,1.153,
1289,S1,T6,2.689,3.075,2.325,2.696333333,
1290,S1,T6,2.584,2.314,1.772,2.223333333,
1291,S1,T6,0.726,0.417,0.23,0.457666667,
1292,S1,T6,1.812,1.68,1.224,1.572,
1293,S1,T6,1.162,1.012,0.801,0.991666667,
2100,S11,T1,7.543,6.289,5.382,6.404666667,
2101,S11,T1,100,100,100,100,
2102,S11,T1,13.17,13.265,10.828,12.421,
2103,S11,T1,1.434,1.485,1.064,1.327666667,
2104,S11,T1,1.084,1.539,1.011,1.211333333,
2150,S11,T1,6.724,9.232,4.802,6.919333333,
2163,S11,T1,100,100,100,100,
2168,S11,T1,1.129,1.27,1.255,1.218,
2169,S11,T1,0.885,0.984,0.41,0.759666667,
2237,S11,T1,5.583,5.076,3.278,4.645666667,
2240,S11,T1,2.106,1.737,0.807,1.55,
2241,S11,T1,9.236,8.862,9.741,9.279666667,
2242,S11,T1,1.329,1.452,0.704,1.161666667,
2243,S11,T1,100,100,100,100,
2244,S11,T1,100,100,100,100,
2245,S11,T1,14.584,12.346,10.106,12.34533333,
2246,S11,T1,5.412,6.392,5.744,5.849333333,
2247,S11,T1,13.926,12.537,13.12,13.19433333,
2248,S11,T1,14.717,12,10.847,12.52133333,
2249,S11,T1,100,100,100,100,
2250,S11,T1,100,100,100,100,
2251,S11,T1,1.171,1.143,1.068,1.127333333,
2252,S11,T1,0.624,0.646,0.698,0.656,
2253,S11,T1,0.711,0.992,1.142,0.948333333,
2254,S11,T1,0.838,0.949,0.948,0.911666667,
2255,S11,T1,10.79,8.232,9.241,9.421,
2256,S11,T1,10.883,10.134,8.858,9.958333333,
2257,S11,T1,5.364,4.846,4.123,4.777666667,
2258,S11,T1,0.76,0.639,0.332,0.577,
2259,S11,T1,0.57,0.585,0.171,0.442,
2260,S11,T1,5.095,5.274,3.21,4.526333333,
2261,S11,T1,2.928,2.508,2.619,2.685,
2262,S11,T1,9.15,11.173,7.979,9.434,
2263,S11,T1,2.736,2.754,2.997,2.829,
2264,S11,T1,8.084,7.288,6.146,7.172666667,
2265,S11,T1,1.433,1.255,1.481,1.389666667,
2266,S11,T1,11.148,7.855,7.598,8.867,
2267,S11,T1,11.575,11.21,8.181,10.322,
2268,S11,T1,14.685,14.961,14.125,14.59033333,
2269,S11,T1,9.389,10.02,6.423,8.610666667,
2270,S11,T1,4.029,3.584,4.535,4.049333333,
2271,S11,T1,100,100,100,100,
2272,S11,T1,100,100,100,100,
2273,S11,T1,8.407,8.153,7.59,8.05,
2274,S11,T1,100,100,100,100,
2275,S11,T1,100,100,100,100,
2276,S11,T1,13.17,13.415,11.316,12.63366667,
2277,S11,T1,1.318,1.564,0.825,1.235666667,
2278,S11,T1,9.74,9.981,4.407,8.042666667,
2279,S11,T1,9.304,7.993,8.461,8.586,
2280,S11,T1,9.199,8.033,6.545,7.925666667,
2281,S11,T1,2.974,2.883,2.808,2.888333333,
2282,S11,T1,100,100,100,100,
2283,S11,T1,15.622,13.134,10.138,12.96466667,
2284,S11,T1,1.311,1.081,0.775,1.055666667,
2285,S11,T1,1.573,1.885,1.365,1.607666667,
2286,S11,T1,0.942,0.919,0.412,0.757666667,
2287,S11,T1,15.604,14.829,11.09,13.841,
